created_at,text,quote_count,reply_count,retweet_count,favorite_count,positive_sentiment
2020-09-19,"@TrungTPhan To be frank, in the early days, I thought there was &gt;90% chance that both SpaceX &amp; Tesla would be worth… https://t.co/cN2bFBua5q",104,470,1342,30276,0.054474905133247375
2020-09-16,Fallout Shelter is on your Tesla. Tap the Entertainment button.,596,2089,4635,100494,0.028650321066379547
2020-09-15,@jackfarrington @Tesla Good point,2,30,17,959,0.8213106989860535
2020-09-12,"@brandonbernicky @WholeMarsBlog Releasing private beta in 2 to 4 weeks, public beta (early access owners who opt in… https://t.co/OYCpr9I9Hq",113,206,257,1938,0.000824075541459024
2020-09-10,Bitte arbeiten Sie bei Tesla Giga Berlin! Es wird super Spaß machen!! https://t.co/FcNoPr2oII,491,2452,2564,37726,0.9902296662330627
2020-09-10,@MonicaLewinsky Try a Tesla &amp; you’re welcome to give it back if you decide you prefer a Subaru,546,2053,2944,96981,0.3711700439453125
2020-09-10,"@DisruptResearch Tesla is best understood as a collection of about a dozen startups, mostly in series, increasingly… https://t.co/zYnsXiSP4N",189,257,1106,6653,0.06901731342077255
2020-09-10,@DisruptResearch Tesla R&amp;D productivity is exceptionally good due to the caliber of engineering talent,29,103,172,2156,0.8815738558769226
2020-09-09,Tesla Model S &amp; X have hospital-grade (HEPA) air filters. 3 &amp; Y are really good too. This has a big effect on healt… https://t.co/ytsK3LmfiI,280,1421,2797,26807,0.7147066593170166
2020-09-09,"RT @Teslarati: Tesla Energy ramps hiring at Giga New York for accelerated solar production
https://t.co/Iha2DREwu0",0,0,0,0,0.04265488684177399
2020-09-09,"@RBReich All Tesla workers also get stock, so their compensation increased proportionately. You are a modern day moron.",1089,1720,6816,44609,0.003461393527686596
2020-09-07,"If you bombard Earth with enough photons, eventually it emits a Tesla (AK)",547,2998,6060,112617,0.07113181054592133
2020-09-03,@sara_boutall @Tesla 🤣🤣,8,97,93,6012,0.006509984377771616
2020-09-02,@StefanTPeterson @Tesla Trust ur butt haha,81,226,224,4041,0.02852523699402809
2020-08-30,"@Teslarati Tesla Germany designed &amp; built the vaccine RNA printers for CureVac, but, subject to some CureVac IP, th… https://t.co/X32SdA871G",32,154,364,5556,0.004666706081479788
2020-08-30,"@kulpability @tlowdon @EthicalSkeptic One person at Tesla (out of 60,000) was hospitalized in serious condition (he… https://t.co/UNJGvlveuk",33,68,312,2632,0.00214931252412498
2020-08-30,"@tlowdon @EthicalSkeptic Some of the tests we initially tried at Tesla were ~50% false positive, including some fro… https://t.co/bY0ooPHPp7",132,380,1648,13458,0.0010793056571856141
2020-08-28,"@flcnhvy @DJSnM Neuralink this month &amp; Tesla next month, SpaceX probably October. We will have made a lot of progre… https://t.co/cjSgR0sJIT",125,212,509,6353,0.18225409090518951
2020-08-28,@GerberKawasaki @Tesla Thanks to a smart and hardworking team at Tesla. These sure are wild times …,48,344,497,15681,0.9076606631278992
2020-08-26,@Teslarati Tesla brake lights are powered by a miniverse inside a microverse https://t.co/aduoTl537T,50,267,438,6985,0.009757344610989094
2020-08-26,"@Erdayastronaut @Tesla No, we’re focused on developing new products &amp; scaling production",34,224,187,4347,0.010436108335852623
2020-08-24,@tesla_addicted @Erdayastronaut No &amp; not possible at this scale,3,117,52,2004,0.011653738096356392
2020-08-22,"RT @Teslarati: Tesla Model 3 is “most satisfying” car across all ages, study reveals https://t.co/ka0iha7z6C https://t.co/XUZMuLvFHF",0,0,0,0,0.2504802644252777
2020-08-21,"RT @jaxzin: Power is flowing again from the grid. 
Grateful for my @Tesla #Powerwall and 162 hours of uninterrupted backup power. ⚡️⚡️⚡️ ht…",0,0,0,0,0.9392600059509277
2020-08-20,More fun games coming soon to ur Tesla https://t.co/zBdYGOuHsz,3158,4406,30106,256521,0.8874593377113342
2020-08-20,New Tesla feature coming that enables your car to play snake jazz or Polynesian elevator music through its outside speakers wherever you go,1944,4803,9470,146484,0.22124812006950378
2020-08-19,"@TeslaTested That’s an error in Canada. The lease payment is specifically lower than loan financing, as Tesla expec… https://t.co/VAE3Ppljox",10,86,78,1958,0.0016803971957415342
2020-08-19,"RT @Tesla: Big updates in 🇨🇦 

– Trans-Canada Supercharging ✅ 
– Model Y deliveries ✅ 
– Leasing for Model Y &amp; Model 3 🎯
https://t.co/gyFBE…",0,0,0,0,0.025511201471090317
2020-08-17,@PPathole The “early investor” part of Tesla is wrong. That bs has been pushed by Eberhard (worst person I’ve ever… https://t.co/XVuOEiG9eX,23,116,71,1469,0.004955883137881756
2020-08-16,"@EuricSanti @luisabinader @Tesla Thank you, Tesla is most honored!",275,360,2169,29926,0.9949943423271179
2020-08-15,https://t.co/mDoPO17YB9 https://t.co/326rkUEYW8,94,777,1255,14772,0.0010836843866854906
2020-08-15,"@flcnhvy @ICannot_Enough @Tesla This is out of our hands, so hard to predict. Maybe on order of 10 billion km of re… https://t.co/38fzby8pNO",21,141,84,1870,0.013215952552855015
2020-08-15,"@teslaownersSV @PPathole @ICannot_Enough @flcnhvy @Tesla A lot of work remains. Technically, we have it working in… https://t.co/WzG16TAxEe",20,70,65,1168,0.08493176102638245
2020-08-15,@PPathole @ICannot_Enough @flcnhvy @Tesla Dojo is still being built. Maybe a year or so from V1.0.,22,58,32,837,0.025521613657474518
2020-08-15,"@ICannot_Enough @flcnhvy @Tesla Autopilot was trapped in a local maximum, labeling single camera images uncorrelate… https://t.co/W1gOo6ETzH",45,79,102,1738,0.0009701278759166598
2020-08-15,@ICannot_Enough @flcnhvy @Tesla Your insights over the years have been excellent. That’s approximately right.,20,54,67,1738,0.9278469085693359
2020-08-14,@Erdayastronaut This is what I meant by “4D” https://t.co/xpX7j5SnPy,27,129,428,4193,0.00994417816400528
2020-08-14,Tesla is developing a NN training computer called Dojo to process truly vast amounts of video data. It’s a beast! P… https://t.co/Aipo9Gd8ek,947,4564,9473,128286,0.4053346514701843
2020-08-14,@Teslarati Tesla team is working hard on increasing Powerwall production,15,186,180,4569,0.16629615426063538
2020-08-14,@Erdayastronaut Probably not faster than utility power can be restored. Powerwall/Powerpack/Megapack can certainly… https://t.co/712ZNZTmbj,12,99,132,2345,0.007470948155969381
2020-08-11,"@Mark_Goldberg_ @Tesla One day soon, I will wear this outfit https://t.co/T0SnF4UgYK",53,339,175,4384,0.15951775014400482
2020-08-11,@Mark_Goldberg_ @Tesla I was trying to channel Herb Tarlek from WKRP https://t.co/0RC72S0ZAY,6,74,41,1778,0.001300024800002575
2020-08-11,@Mark_Goldberg_ @Tesla Note the fabulous plaid jacket &amp; gingham shirt combo 🤣,21,274,196,11372,0.715229332447052
2020-08-08,"@PPathole @BernieSanders Over time, since we give all employees shares, my ownership is diluted automatically. From… https://t.co/AQgI0Cu2HN",24,157,213,2613,0.0063322181813418865
2020-08-08,"@BernieSanders And why aim your attacks at Tesla, when we’re doing more than any other company on Earth to advance… https://t.co/Vc6iSFxioZ",254,918,1868,18335,0.005121720023453236
2020-08-08,@WR4NYGov @BernieSanders Good analysis. He also includes a govt loan for high efficiency vehicles that Tesla paid b… https://t.co/iaklN5fvpb,10,55,137,1758,0.31734874844551086
2020-08-06,RT @Tesla: Looking up in Model Y https://t.co/iAfpJ491Zz,0,0,0,0,0.02807806059718132
2020-08-02,@NatalCicuto @Tesla @Kristennetten @TeslaForThe_Win Working on it,23,270,169,12612,0.011590617708861828
2020-08-01,"RT @cleantechnica: Tesla Autopilot Accidents: 1 out of 4,530,000 Miles; US Average: 1 out of 479,000 Miles https://t.co/NnBeTmY1Tr",0,0,0,0,0.00855395570397377
2020-08-01,RT @Tesla: Tesla Q2 Vehicle Safety Report https://t.co/C7no6bBwGc,0,0,0,0,0.004112225957214832
2020-07-30,@keith31345919 @PPathole https://t.co/0kAAv0DtNn,43,50,249,1703,0.001129547948949039
2020-07-30,@PPathole Sounds like he doesn’t realize Tesla makes the vaccine machine for CureVac,99,343,763,11493,0.004826408810913563
2020-07-30,@mkarolian @Tesla Thanks for letting me know. Will dig into it.,6,47,23,1020,0.9179448485374451
2020-07-29,@Teslarati Tesla is open to licensing software and supplying powertrains &amp; batteries. We’re just trying to accelera… https://t.co/5t9vGkLWda,648,1186,3020,33634,0.0026567482855170965
2020-07-26,"RT @MKBHD: NEW VIDEO - Why Tesla Model Y is Their Most Important Car! [Auto Focus Ep 5]

https://t.co/3lC3l2Rgcj https://t.co/L65zAxYcTr",0,0,0,0,0.26359429955482483
2020-07-26,@RandyVegetables Some of whom seriously think Tesla toppled the Bolivian govt (sigh) https://t.co/yC5gaa12DW,83,380,308,8005,0.0029908856377005577
2020-07-25,@teslacn Tesla will add a power lift gate at no cost,149,495,1324,50329,0.03505104035139084
2020-07-24,"Tesla solar panels are $1.49/Watt 
https://t.co/5LpLhqgAzw",437,2898,4285,55357,0.003338238690048456
2020-07-24,@realDonaldTrump @Tesla Thank you on behalf of the Tesla team. We look forward to building Giga Texas!,371,1973,5186,92549,0.976189374923706
2020-07-23,"@Tesla We are actually looking for revolutionary actuaries for Tesla Insurance! Please inquire, if interested.",264,1167,985,19131,0.27935197949409485
2020-07-23,@LudaLisl @Tesla Can’t emphasize this enough,17,228,226,13567,0.0651596188545227
2020-07-23,@tomosman @Tesla Absolutely,7,135,95,4673,0.1308545470237732
2020-07-23,RT @Tesla: https://t.co/jmkacbRb5D,0,0,0,0,0.0032809164840728045
2020-07-19,"RT @businessinsider: Tesla's Model 3 received top marks from safety organizations in North America, Europe, and Australia https://t.co/NB92…",0,0,0,0,0.3013356626033783
2020-07-15,@GerberKawasaki Great work by Tesla software engineering,10,101,117,3345,0.9156733155250549
2020-07-14,@TeslaAircraft @flcnhvy @Tesla Exactly,7,102,62,2546,0.01228388026356697
2020-07-14,"@WholeMarsBlog Tesla Autopilot was literally named after the term used in aviation. Also, what about Autobahn!?",93,559,265,6385,0.0024607081431895494
2020-07-14,"@teslaownersSV @engineers_feed The strength &amp; perseverance of the people of Tesla, despite facing extreme difficulties",19,128,146,2418,0.02125546522438526
2020-07-14,@engineers_feed Playable on any Tesla!,22,175,245,12250,0.09220371395349503
2020-07-10,@TeslaParaTodos @EvaFoxU @Tesla 👀,12,65,52,1237,0.004014419391751289
2020-07-10,@mjkapkan @EvaFoxU @Tesla Probably a good one to design &amp; engineer in Germany,35,129,111,2150,0.6869169473648071
2020-07-10,@blue_bnd @EvaFoxU @Tesla Even more,8,48,44,1014,0.020436760038137436
2020-07-10,@Techgnostik @EvaFoxU @Tesla Ok,6,48,14,886,0.0032958840020000935
2020-07-10,@scr00chy @EvaFoxU @Tesla 👀,20,52,52,1169,0.0026091220788657665
2020-07-10,@EvaFoxU @Tesla Berlin Model Y is the one to watch. That is a revolution in automotive body engineering (finally).,62,240,452,7133,0.41880926489830017
2020-07-08,@vincent13031925 @teslacn @EvaFoxU Tesla China team is awesome!,28,305,240,8380,0.9885298609733582
2020-07-07,@valleyhack Essentially. Long-term purpose of my Tesla stock is to help make life multiplanetary to ensure it’s con… https://t.co/ogUkAQHNsR,343,984,2729,40133,0.03564639389514923
