date,volume,formatted_date,pct_change_2_days,log_return_2_days,pct_change_3_days,log_return_3_days,pct_change_14_days,log_return_14_days,pct_change_7_days,log_return_7_days
1580740200,236167500,2020-02-03,,,,,,,,
1580826600,304694000,2020-02-04,,,,,,,,
1580913000,242119000,2020-02-05,-0.058076907426882984,-0.059831650442418116,,,,,,
1580999400,199404000,2020-02-06,-0.15568278762484122,-0.16922701095146486,-0.039794824062249545,-0.04060829242101871,,,,
1581085800,85317500,2020-02-07,0.0181978761892696,0.018034276635630953,-0.15668615284608334,-0.17041609233723332,,,,
1581345000,123446000,2020-02-10,0.029801251307838728,0.02936582372708596,0.04978898966340117,0.048589181748485366,,,,
1581431400,58487500,2020-02-11,0.035170563736046434,0.03456620902022145,0.03394039321899078,0.033377127634453,,,,
1581517800,60112500,2020-02-12,-0.005173245562189566,-0.00518667312642318,0.025692743870207257,0.025368231986431233,,,-0.016294919527493956,-0.01642914182035593
1581604200,131446500,2020-02-13,0.03824992704400443,0.03753653326048756,0.04242302722408353,0.041547837167854595,,,-0.09363515022482827,-0.0983133500565243
1581690600,78468500,2020-02-14,0.04266968465717946,0.04178442850294495,0.03312320430220672,0.03258645146915473,,,0.08892060736085461,0.08518693712500713
1582036200,81908500,2020-02-18,0.06766162573094858,0.0654708604968901,0.11874259410563148,0.11220537079116788,,,0.14612251750041172,0.13638452139183066
1582122600,127115000,2020-02-19,0.14673198073688232,0.13691614103999683,0.1410695898507799,0.131966059248664,,,0.2263825275471354,0.204068801529373
1582209000,88174500,2020-02-20,0.0477749968447867,0.04666886518081892,0.12422038854477901,0.11708980746904185,,,0.16612648861382473,0.15368756284556362
1582295400,71574000,2020-02-21,-0.017898000358758326,-0.018060106733278403,0.049627240423705254,0.048435092018495496,,,0.16351138143089128,0.15144248577587316
1582554600,75961000,2020-02-24,-0.07295898368164144,-0.07575746809699968,-0.09115780402961982,-0.09558380166795466,0.06896151029146624,0.06668762605463119,0.08666868913395143,0.08311676787498712
1582641000,86452500,2020-02-25,-0.1121975730395991,-0.11900605290673116,-0.11062812697566582,-0.11723982606905459,-0.0982459342249632,-0.10341345044786987,-0.005087116960988292,-0.005100100391345563
1582727400,70427500,2020-02-26,-0.06595186670780628,-0.06822730750707162,-0.13562709686630026,-0.14575100244174788,0.06002444479982061,0.05829196898997768,-0.026536519160077154,-0.02689496813502945
1582813800,121386000,2020-02-27,-0.15115445730777965,-0.16387803773507414,-0.18564622608533976,-0.20536039570712905,-0.09340955257274564,-0.09806447723147915,-0.20899342471305338,-0.2344489986233098
1582900200,122821000,2020-02-28,-0.14228292299865786,-0.15348098095738205,-0.16491848028247202,-0.18022593049239877,-0.10704874798357544,-0.11322328860303532,-0.27188195203465637,-0.31729209013240833
1583159400,100975000,2020-03-02,0.0951693349134457,0.09090899506892214,-0.045172032174729204,-0.04622409313113529,-0.035862448130789426,-0.036521305889642974,-0.1732135739277465,-0.1902088687352066
1583245800,128920000,2020-03-03,0.11604961875872233,0.10979532422408234,0.0979528840515207,0.09344743146675771,-0.037281449748442164,-0.037994173399174436,-0.17257487497234236,-0.1894366591750476
1583332200,75245000,2020-03-04,0.007907230042015989,0.007876131725340407,0.12202267859930904,0.11513301955158717,-0.023185489383886315,-0.023458501037879387,-0.10109261416687076,-0.1065752689128665
1583418600,54263500,2020-03-05,-0.02812839601991457,-0.028531577917661366,-0.025658227910439257,-0.02599314151982579,-0.09883083326746178,-0.10406228457732336,-0.09422303993102255,-0.0989621841859778
1583505000,63314500,2020-03-06,-0.061400901439212285,-0.06336683603056148,-0.056377550785448705,-0.05802914070305665,-0.12068296161614278,-0.12860976557138581,-0.09671286525801082,-0.10171479743635636
1583760600,85368500,2020-03-09,-0.1608469202588565,-0.1753621341624152,-0.18879250550140958,-0.2092314074075814,-0.2917054772726869,-0.34489527923662866,-0.10456556891404956,-0.11044628061331885
1583847000,77972000,2020-03-10,-0.08266052306707561,-0.0862776713815121,-0.1093246058021684,-0.11577523416690738,-0.2965817247628174,-0.35180357799289474,-0.03392275853782534,-0.03451148786048641
1583933400,66612500,2020-03-11,0.043141465979393834,0.042236800550257136,-0.09843917778925204,-0.10362777082676278,-0.2948377380564703,-0.34932734386719044,-0.14710469390083447,-0.15911847513198385
1584019800,94545500,2020-03-12,-0.13137460218864672,-0.14084331936950534,-0.07804274656951737,-0.08125641937399752,-0.37785792170378185,-0.4745867906291217,-0.24809863819953215,-0.2851501314540741
1584106200,113201500,2020-03-13,-0.13813603173206435,-0.14865783020561185,-0.15296048256487083,-0.16600792965086253,-0.34441525816724694,-0.4222277059758026,-0.27068711174829085,-0.3156524370629361
1584365400,102447500,2020-03-16,-0.20601195741367406,-0.23068687756335482,-0.2982514271808321,-0.3541800974876095,-0.44359988669074013,-0.5862676152857453,-0.385720615738682,-0.48730543109976754
1584451800,119973000,2020-03-17,-0.21298156960050074,-0.2395036122881189,-0.2325394661751261,-0.2646682225694761,-0.4476116849647729,-0.5935040107568499,-0.38846874510948415,-0.4917892133204935
1584538200,118931000,2020-03-18,-0.18839729317371723,-0.20874433586319174,-0.3391752501776951,-0.41426660314518937,-0.4680117697172371,-0.6311339134138629,-0.4058881233351873,-0.5206876328005441
1584624600,150977500,2020-03-19,-0.005950732591231911,-0.005968508756303947,-0.03916237966415892,-0.039949853762425214,-0.3598108110361523,-0.4459915385557718,-0.33733125935674646,-0.41148005069528537
